Customer ID,Product,Forecast,Gross Profit MT
C001,P_D,503.3,84.15
C001,P_A,683.4,121.06
C001,P_B,361.1,103.04
C001,P_C,840.1,138.05
C002,P_C,326.6,110.34
C003,P_D,1458.2,142.89
C003,P_B,296.7,104.08
C003,P_C,583.8,92.32
C003,P_A,376.8,110.92
C004,P_A,630.1,134.12
C004,P_C,199.8,100.3
C005,P_A,680.5,89.08
C005,P_C,606.3,80.48
C005,P_B,479.8,123.22
C005,P_D,168.3,130.75
C006,P_B,342.0,87.44
C006,P_D,240.0,110.62
C007,P_B,573.5,116.35
C007,P_C,649.4,82.0
C007,P_A,305.7,93.95
C008,P_B,232.4,98.29
C008,P_A,439.4,123.02
C008,P_D,312.2,130.95
C009,P_D,335.1,132.91
C010,P_C,196.9,110.02
C010,P_B,304.4,112.57
C010,P_A,538.3,125.26
C011,P_B,380.3,99.6
C012,P_C,169.3,87.67
C012,P_D,221.8,139.06
