Customer ID,Customer Name,Segment,Segment_Weight,Product,Product Name,Priority_Rank,Forecast,Allocated,Forecast_Fill_Rate,GP_per_MT,GP_Allocated,GP_Max_at_Forecast,Score_GP,Score_Segment,Score_Total
C005,Customer 5,PARTNER,1.0,P_A,Starch Type A,3,680.5,680.5,1.0,89.08,60618.94,60618.94,0.019957,0.062397,0.082355
C004,Customer 4,STANDARD,0.45,P_A,Starch Type A,8,630.1,630.1,1.0,134.12,84509.01,84509.01,0.027822,0.025999,0.053822
C010,Customer 10,STANDARD,0.45,P_A,Starch Type A,9,538.3,538.3,1.0,125.26,67427.46,67427.46,0.022199,0.022211,0.04441
C008,Customer 8,LIGHT TOUCH,0.25,P_A,Starch Type A,16,439.4,439.4,1.0,123.02,54054.99,54054.99,0.017796,0.010073,0.027869
C001,Customer 1,LIGHT TOUCH,0.25,P_A,Starch Type A,17,683.4,452.3,0.6618,121.06,54755.44,82732.4,0.018027,0.010368,0.028395
C003,Customer 3,LIGHT TOUCH,0.25,P_A,Starch Type A,19,376.8,0.0,0.0,110.92,0.0,41794.66,0.0,0.0,0.0
C007,Customer 7,LIGHT TOUCH,0.25,P_A,Starch Type A,24,305.7,0.0,0.0,93.95,0.0,28720.52,0.0,0.0,0.0
C005,Customer 5,PARTNER,1.0,P_B,Sweetener B,2,479.8,479.8,1.0,123.22,59120.96,59120.96,0.019464,0.043995,0.063459
C011,Customer 11,STRATEGIC,0.6,P_B,Sweetener B,7,380.3,380.3,1.0,99.6,37877.88,37877.88,0.01247,0.020923,0.033393
C010,Customer 10,STANDARD,0.45,P_B,Sweetener B,10,304.4,304.4,1.0,112.57,34266.31,34266.31,0.011281,0.01256,0.023841
C007,Customer 7,LIGHT TOUCH,0.25,P_B,Sweetener B,18,573.5,573.5,1.0,116.35,66726.72,66726.72,0.021968,0.013147,0.035115
C003,Customer 3,LIGHT TOUCH,0.25,P_B,Sweetener B,20,296.7,296.7,1.0,104.08,30880.54,30880.54,0.010167,0.006801,0.016968
C001,Customer 1,LIGHT TOUCH,0.25,P_B,Sweetener B,21,361.1,192.9,0.5342,103.04,19876.42,37207.74,0.006544,0.004422,0.010966
C008,Customer 8,LIGHT TOUCH,0.25,P_B,Sweetener B,22,232.4,0.0,0.0,98.29,0.0,22842.6,0.0,0.0,0.0
C006,Customer 6,UNASSIGNED,0.1,P_B,Sweetener B,30,342.0,0.0,0.0,87.44,0.0,29904.48,0.0,0.0,0.0
C005,Customer 5,PARTNER,1.0,P_C,Modified Starch C,4,606.3,606.3,1.0,80.48,48795.02,48795.02,0.016065,0.055594,0.071658
C002,Customer 2,STRATEGIC,0.6,P_C,Modified Starch C,6,326.6,326.6,1.0,110.34,36037.04,36037.04,0.011864,0.017968,0.029833
C010,Customer 10,STANDARD,0.45,P_C,Modified Starch C,11,196.9,196.9,1.0,110.02,21662.94,21662.94,0.007132,0.008125,0.015256
C004,Customer 4,STANDARD,0.45,P_C,Modified Starch C,12,199.8,199.8,1.0,100.3,20039.94,20039.94,0.006598,0.008244,0.014842
C001,Customer 1,LIGHT TOUCH,0.25,P_C,Modified Starch C,14,840.1,840.1,1.0,138.05,115975.8,115975.8,0.038182,0.019258,0.05744
C003,Customer 3,LIGHT TOUCH,0.25,P_C,Modified Starch C,25,583.8,509.4,0.8726,92.32,47027.81,53896.42,0.015483,0.011677,0.02716
C007,Customer 7,LIGHT TOUCH,0.25,P_C,Modified Starch C,27,649.4,0.0,0.0,82.0,0.0,53250.8,0.0,0.0,0.0
C012,Customer 12,UNASSIGNED,0.1,P_C,Modified Starch C,29,169.3,0.0,0.0,87.67,0.0,14842.53,0.0,0.0,0.0
C005,Customer 5,PARTNER,1.0,P_D,Specialty Blend D,1,168.3,168.3,1.0,130.75,22005.22,22005.22,0.007245,0.015432,0.022677
C009,Customer 9,DISTRIBUTOR,0.75,P_D,Specialty Blend D,5,335.1,335.1,1.0,132.91,44538.14,44538.14,0.014663,0.023045,0.037708
C003,Customer 3,LIGHT TOUCH,0.25,P_D,Specialty Blend D,13,1458.2,1458.2,1.0,142.89,208362.2,208362.2,0.068598,0.033427,0.102025
C008,Customer 8,LIGHT TOUCH,0.25,P_D,Specialty Blend D,15,312.2,312.2,1.0,130.95,40882.59,40882.59,0.01346,0.007157,0.020616
C012,Customer 12,UNASSIGNED,0.1,P_D,Specialty Blend D,23,221.8,155.4,0.7006,139.06,21609.92,30843.51,0.007115,0.001425,0.008539
C001,Customer 1,LIGHT TOUCH,0.25,P_D,Specialty Blend D,26,503.3,0.0,0.0,84.15,0.0,42352.7,0.0,0.0,0.0
C006,Customer 6,UNASSIGNED,0.1,P_D,Specialty Blend D,28,240.0,0.0,0.0,110.62,0.0,26548.8,0.0,0.0,0.0
