Customer,Priority_Rank,Demand_MT,Filled_MT,Remaining_MT,Allocated_MT,Total_Fill_Rate,GP_Per_MT,GP_Allocated,GP_Max_Possible,Importance,Strategic,Alt,Score_GP,Score_Importance,Score_Strategic,Score_Alt,Score_Total
C13,1,570,147,423,423.0,1.0,126.0,53298.0,71820.0,4,4,3,0.013164,0.011205,0.00747,0.001868,0.033707
C23,2,1281,0,1281,1281.0,1.0,131.0,167811.0,167811.0,3,4,1,0.041448,0.02545,0.022623,0.011311,0.100832
C04,3,1052,967,85,85.0,1.0,104.0,8840.0,109408.0,4,4,1,0.002183,0.002252,0.001501,0.000751,0.006687
C01,4,674,345,329,329.0,1.0,128.0,42112.0,86272.0,4,3,3,0.010401,0.008715,0.004358,0.001453,0.024927
C20,5,526,282,244,244.0,1.0,89.0,21716.0,46814.0,4,4,1,0.005364,0.006464,0.004309,0.002155,0.018291
C06,6,219,0,219,219.0,1.0,92.0,20148.0,20148.0,4,4,2,0.004976,0.005801,0.003868,0.00145,0.016096
C28,7,703,572,131,131.0,1.0,117.0,15327.0,82251.0,4,3,3,0.003786,0.00347,0.001735,0.000578,0.009569
C19,8,1007,354,653,653.0,1.0,124.0,80972.0,124868.0,3,3,2,0.02,0.012974,0.008649,0.004325,0.045947
C27,9,790,82,708,708.0,1.0,110.0,77880.0,86900.0,4,3,4,0.019236,0.018755,0.009377,0.001563,0.048931
C02,10,263,181,82,82.0,1.0,143.0,11726.0,37609.0,2,3,2,0.002896,0.001086,0.001086,0.000543,0.005611
C30,11,736,40,696,696.0,1.0,87.0,60552.0,64032.0,4,3,3,0.014956,0.018437,0.009219,0.003073,0.045684
C03,12,921,460,461,461.0,1.0,101.0,46561.0,93021.0,3,3,2,0.0115,0.009159,0.006106,0.003053,0.029818
C05,13,139,35,104,104.0,1.0,111.0,11544.0,15429.0,3,3,4,0.002851,0.002066,0.001377,0.00023,0.006525
C21,14,478,250,228,228.0,1.0,93.0,21204.0,44454.0,3,3,2,0.005237,0.00453,0.00302,0.00151,0.014297
C10,15,300,97,203,203.0,1.0,124.0,25172.0,37200.0,2,2,1,0.006217,0.002689,0.001792,0.001792,0.012491
C24,16,489,79,410,410.0,1.0,123.0,50430.0,60147.0,2,2,1,0.012456,0.00543,0.00362,0.00362,0.025127
C18,17,278,250,28,28.0,1.0,99.0,2772.0,27522.0,2,3,1,0.000685,0.000371,0.000371,0.000247,0.001674
C12,18,939,206,733,733.0,1.0,134.0,98222.0,125826.0,2,2,3,0.02426,0.009709,0.006472,0.003236,0.043677
C08,19,436,258,178,178.0,1.0,111.0,19758.0,48396.0,2,2,2,0.00488,0.002358,0.001572,0.001179,0.009988
C15,20,755,533,222,222.0,1.0,134.0,29748.0,101170.0,2,1,3,0.007348,0.00294,0.00098,0.00098,0.012248
C22,21,338,170,168,168.0,1.0,80.0,13440.0,27040.0,3,2,2,0.00332,0.003338,0.001483,0.001113,0.009253
C07,22,596,264,332,332.0,1.0,88.0,29216.0,52448.0,2,3,2,0.007216,0.004397,0.004397,0.002199,0.01821
C14,23,1199,788,411,9.0,0.6647,100.0,900.0,119900.0,2,2,2,0.000222,0.000119,7.9e-05,6e-05,0.000481
C16,24,298,40,258,0.0,0.1342,132.0,0.0,39336.0,1,2,3,0.0,0.0,0.0,0.0,0.0
C17,25,705,238,467,0.0,0.3376,105.0,0.0,74025.0,2,2,3,0.0,0.0,0.0,0.0,0.0
C26,26,426,239,187,0.0,0.561,131.0,0.0,55806.0,1,1,1,0.0,0.0,0.0,0.0,0.0
C11,27,1008,76,932,0.0,0.0754,108.0,0.0,108864.0,2,2,4,0.0,0.0,0.0,0.0,0.0
C29,28,727,24,703,0.0,0.033,89.0,0.0,64703.0,2,2,2,0.0,0.0,0.0,0.0,0.0
C25,29,403,186,217,0.0,0.4615,126.0,0.0,50778.0,1,1,3,0.0,0.0,0.0,0.0,0.0
C09,30,538,306,232,0.0,0.5688,95.0,0.0,51110.0,1,1,3,0.0,0.0,0.0,0.0,0.0
