Company,Product,Priority_Rank,Contract_MT,Forecast_MT,Allocated_MT,Forecast_Fill_Rate,Contract_Fill_Rate,GP_per_MT,GP_Allocated,GP_Max_at_Forecast,Importance,Score_GP,Score_Importance,Score_Total
Co09,P_A,6,627,612,612.0,1.0,0.9761,93.0,56916.0,56916.0,4,0.019729,0.028638,0.048367
Co01,P_A,11,226,287,287.0,1.0,1.2699,85.0,24395.0,24395.0,4,0.008456,0.01343,0.021886
Co05,P_A,17,342,285,285.0,1.0,0.8333,108.0,30780.0,30780.0,3,0.010669,0.010002,0.020672
Co06,P_A,19,675,698,450.0,0.6447,0.6667,135.0,60750.0,94230.0,2,0.021058,0.010529,0.031586
Co10,P_A,24,293,296,0.0,0.0,0.0,86.0,0.0,25456.0,2,0.0,0.0,0.0
Co03,P_B,3,247,239,239.0,1.0,0.9676,122.0,29158.0,29158.0,4,0.010107,0.011184,0.021291
Co09,P_B,7,228,275,275.0,1.0,1.2061,93.0,25575.0,25575.0,4,0.008865,0.012869,0.021733
Co08,P_B,9,146,93,93.0,1.0,0.637,125.0,11625.0,11625.0,3,0.00403,0.003264,0.007293
Co07,P_B,14,335,371,371.0,1.0,1.1075,85.0,31535.0,31535.0,4,0.010931,0.017361,0.028292
Co05,P_B,15,721,740,740.0,1.0,1.0264,108.0,79920.0,79920.0,3,0.027702,0.025971,0.053673
Co06,P_B,20,439,441,441.0,1.0,1.0046,135.0,59535.0,59535.0,2,0.020636,0.010318,0.030955
Co10,P_B,23,1054,1010,559.0,0.5535,0.5304,86.0,48074.0,86860.0,2,0.016664,0.013079,0.029743
Co04,P_B,26,680,455,0.0,0.0,0.0,108.0,0.0,49140.0,1,0.0,0.0,0.0
Co02,P_C,1,326,311,311.0,1.0,0.954,130.0,40430.0,40430.0,4,0.014014,0.014553,0.028567
Co03,P_C,4,376,365,365.0,1.0,0.9707,122.0,44530.0,44530.0,4,0.015435,0.01708,0.032515
Co09,P_C,5,321,424,424.0,1.0,1.3209,93.0,39432.0,39432.0,4,0.013668,0.019841,0.033509
Co08,P_C,8,380,311,311.0,1.0,0.8184,125.0,38875.0,38875.0,3,0.013475,0.010915,0.02439
Co05,P_C,18,333,335,335.0,1.0,1.006,108.0,36180.0,36180.0,3,0.012541,0.011757,0.024298
Co06,P_C,21,204,142,142.0,1.0,0.6961,135.0,19170.0,19170.0,2,0.006645,0.003322,0.009967
Co10,P_C,22,282,370,48.0,0.1297,0.1702,86.0,4128.0,31820.0,2,0.001431,0.001123,0.002554
Co04,P_C,25,463,324,0.0,0.0,0.0,108.0,0.0,34992.0,1,0.0,0.0,0.0
Co02,P_D,2,516,528,528.0,1.0,1.0233,130.0,68640.0,68640.0,4,0.023792,0.024708,0.0485
Co08,P_D,10,538,535,535.0,1.0,0.9944,125.0,66875.0,66875.0,3,0.023181,0.018776,0.041957
Co07,P_D,12,324,276,276.0,1.0,0.8519,85.0,23460.0,23460.0,4,0.008132,0.012915,0.021047
Co01,P_D,13,361,339,339.0,1.0,0.9391,85.0,28815.0,28815.0,4,0.009988,0.015863,0.025851
Co05,P_D,16,444,446,48.0,0.1076,0.1081,108.0,5184.0,48168.0,3,0.001797,0.001685,0.003482
Co04,P_D,27,199,177,0.0,0.0,0.0,108.0,0.0,19116.0,1,0.0,0.0,0.0
