Company,Product,Contract_MT,Forecast_MT,GP_per_MT,Importance
Co01,P_A,226,287,85,4
Co05,P_A,342,285,108,3
Co06,P_A,675,698,135,2
Co09,P_A,627,612,93,4
Co10,P_A,293,296,86,2
Co03,P_B,247,239,122,4
Co04,P_B,680,455,108,1
Co05,P_B,721,740,108,3
Co06,P_B,439,441,135,2
Co07,P_B,335,371,85,4
Co08,P_B,146,93,125,3
Co09,P_B,228,275,93,4
Co10,P_B,1054,1010,86,2
Co02,P_C,326,311,130,4
Co03,P_C,376,365,122,4
Co04,P_C,463,324,108,1
Co05,P_C,333,335,108,3
Co06,P_C,204,142,135,2
Co08,P_C,380,311,125,3
Co09,P_C,321,424,93,4
Co10,P_C,282,370,86,2
Co01,P_D,361,339,85,4
Co02,P_D,516,528,130,4
Co04,P_D,199,177,108,1
Co05,P_D,444,446,108,3
Co07,P_D,324,276,85,4
Co08,P_D,538,535,125,3
